Player,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,TDI
Nikola Jokic,32.0,0.663,29.5,12.7,3.8,16.4,0.307,9.9,3.3,13.3,9.8,10.725
Shai Gilgeous-Alexander,30.7,0.637,34.8,11.9,4.8,16.7,0.309,8.9,2.6,11.5,8.9,9.925
Giannis Antetokounmpo,30.5,0.625,35.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6,7.6
Tyrese Haliburton,21.8,0.616,21.6,8.1,2.3,10.4,0.204,5.7,0.2,5.8,4.9,5.525
Domantas Sabonis,22.9,0.655,21.6,7.4,2.7,10.1,0.199,4.2,1.1,5.2,4.4,5.15
Stephen Curry,21.5,0.618,29.8,5.2,2.7,7.9,0.168,6.4,0.0,6.3,4.8,5.15
Jarrett Allen,22.1,0.724,15.9,7.6,4.0,11.6,0.243,3.0,1.2,4.2,3.6,5.0
Jayson Tatum,21.7,0.582,31.2,5.3,4.2,9.5,0.174,4.4,0.8,5.2,4.8,4.975
Luka Doncic,24.1,0.587,33.9,3.5,2.4,5.9,0.16,5.5,1.2,6.7,3.9,4.825
LeBron James,22.7,0.604,30.1,4.9,2.8,7.7,0.152,4.9,0.7,5.6,4.7,4.725
Jimmy Butler,22.4,0.626,20.8,6.6,2.0,8.7,0.238,4.0,1.0,4.9,3.0,4.65
Evan Mobley,22.3,0.633,23.2,5.3,3.8,9.0,0.2,3.1,1.5,4.6,3.6,4.55
Anthony Davis,27.1,0.601,30.2,3.6,2.6,6.2,0.207,4.5,1.5,6.0,2.9,4.55
Ivica Zubac,22.3,0.641,19.5,7.0,4.7,11.7,0.215,2.3,0.8,3.1,3.4,4.475
Anthony Davis,26.3,0.588,30.4,3.7,3.0,6.7,0.188,3.9,1.5,5.4,3.2,4.375
Karl-Anthony Towns,23.4,0.63,27.4,6.3,3.8,10.1,0.193,3.5,0.1,3.6,3.5,4.325
Anthony Edwards,20.1,0.595,31.4,4.6,3.8,8.4,0.14,4.4,0.0,4.3,4.6,4.275
Alperen Sengun,21.4,0.545,26.2,4.1,4.2,8.3,0.166,2.6,1.8,4.4,3.9,4.275
James Harden,20.0,0.582,29.6,4.0,4.3,8.3,0.143,3.5,0.8,4.3,4.4,4.225
Victor Wembanyama,24.2,0.594,30.4,1.0,2.8,3.8,0.118,3.6,2.9,6.5,3.3,4.2
